P1_quad_10_10	1	3	3	0.0180324999964796	-24.708816068555336
P2_quad_10_1000	1	3	3	0.0013240830157883465	-673.6285228799813
P3_quad_1000_10	1	3	3	0.22914291598135605	-2014.9674990671913
P4_quad_1000_1000	1	3	3	0.14871245800168253	-71463.47878017549
P5_quartic_1	2	5	4	0.00020154201774857938	3.778904386933717e-17
P6_quartic_2	12	25	14	0.000695333001203835	0.0007037872652871129
P7_rosenbrock_2	20	48	22	0.0005193340184632689	8.517074983933537e-12
P8_rosenbrock_100	1000	41840	1002	1.7665997500007506	3.9898746169734354
P9_DataFit_2	1	3	3	0.0001716670230962336	14.203125
P10_Exponential_10	1000	52534	1002	1.130277541000396	0.999971792270761
P11_Exponential_100	1000	52352	1002	1.9991822919982951	0.9999993257392279
P12_Genhumps_5	1000	50903	1002	1.168933457985986	92164.9349660398
