P1_quad_10_10	105	211	212	0.0342950829945039	-24.708816068493316
P2_quad_10_1000	1000	4387	2201	0.49728329200297594	-673.6188516627086
P3_quad_1000_10	111	223	224	8.991090999974404	-2014.967499062322
P4_quad_1000_1000	1000	4365	2199	124.6078184999933	-71461.41287346129
P5_quartic_1	2	5	6	6.062499596737325e-05	1.600925598052903e-19
P6_quartic_2	5	145	12	0.001000082993414253	0.0010306706149708427
P7_rosenbrock_2	1000	19765	2003	0.11346158300875686	0.0003370797949820805
P8_rosenbrock_100	28	553	59	0.004503500007558614	1.530097793017051e-11
P9_DataFit_2	530	5815	1062	0.05240791698452085	1.0069463050594947e-09
P10_Exponential_10	27	83	56	0.0008744169899728149	-0.2055728089930578
P11_Exponential_100	17	53	37	0.0005841670208610594	-0.2055728089965479
P12_Genhumps_5	143	635	291	0.019925792003050447	9.087698485894244e-08
