P1_quad_10_10	24	49	26	0.022074000000429805	-24.708816068555336
P2_quad_10_1000	14	29	16	0.01407790000030218	-673.6285228799821
P3_quad_1000_10	25	51	27	3.1865936000003785	-2014.9674990575859
P4_quad_1000_1000	430	861	432	193.4720440000001	-71463.4787800546
P5_quartic_1	3	7	5	0.0004975000001650187	3.361123913146039e-13
P6_quartic_2	25	51	27	0.002575800000158779	0.0009877187097947393
P7_rosenbrock_2	90	181	92	0.005991699999867706	1.1624524534767526e-11
P8_rosenbrock_100	35	71	37	0.029348200000640645	3.989974810609915
P9_DataFit_2	27	55	29	0.002113200000167126	4.206647966083252e-13
P10_Exponential_10	18	37	20	0.0013324999999895226	-0.20557277318534387
P11_Exponential_100	18	37	20	0.021450000000186265	-0.2055724053677582
P12_Genhumps_5	63	127	65	0.008871400000316498	5.1892194088148986e-08
