P1_quad_10_10	1	3	4	0.014807291998295113	-24.708816068555336
P2_quad_10_1000	1	3	4	0.0011779170017689466	-673.6285228799813
P3_quad_1000_10	1	3	4	0.1696959999972023	-2014.9674990671913
P4_quad_1000_1000	1	3	4	0.14474783299374394	-71463.47878017549
P5_quartic_1	2	5	6	0.00021587501396425068	3.778904386933717e-17
P6_quartic_2	12	25	26	0.0009206669928971678	0.0007037872652871129
P7_rosenbrock_2	20	55	42	0.0010239999974146485	8.517074983933537e-12
P8_rosenbrock_100	1000	1993005	1006	25.002309667004738	3.9898746169734354
P9_DataFit_2	1000	2001001	1002	13.131998457974987	14.203125
P10_Exponential_10	1000	1983092	1011	19.76513304200489	0.9999717922707609
P11_Exponential_100	1000	1977077	1014	22.818681875010952	0.9999993257392279
P12_Genhumps_5	1000	1991052	1012	37.60988783300854	2384.5019843862574
