P1_quad_10_10	1	4	4	0.0020265579223632812	-24.70881606855534
P2_quad_10_1000	1	4	4	0.0010442733764648438	-673.6285228799819
P3_quad_1000_10	1	4	4	1.107173204421997	-2014.967499067191
P4_quad_1000_1000	1	4	4	0.411607027053833	-71463.47878017559
P5_quartic_1	2	7	6	0.0	3.778904388050559e-17
P6_quartic_2	12	37	26	0.0	0.0007037872652871126
P7_rosenbrock_2	20	68	42	0.0	8.517074935211368e-12
P8_rosenbrock_100	1000	42840	2002	14.38724160194397	3.9898746169734354
P9_DataFit_2	6	19	14	0.0040051937103271484	3.0634287290257503e-10
P10_Exponential_10	13	57	28	0.0039942264556884766	-0.20557277724175013
P11_Exponential_100	13	57	28	0.08851981163024902	-0.20557245965841175
P12_Genhumps_5	106	337	214	0.024146318435668945	1.194984908516145e-08
