P1_quad_10_10	39	79	119	0.04112029995303601	-24.7088160685469
P2_quad_10_1000	1000	2001	3002	1.054297300055623	-673.2569792065963
P3_quad_1000_10	44	89	134	7.731618200079538	-2014.9674990615295
P4_quad_1000_1000	1000	2001	3002	167.27992150001228	-71406.41486567189
P5_quartic_1	3	7	11	0.00026030000299215317	1.1035544219242635e-19
P6_quartic_2	18	171	56	0.0026591999921947718	0.0012711492353933748
P7_rosenbrock_2	1000	4186	4014	0.10504160006530583	1.2020676817241244e-05
P8_rosenbrock_100	7	33	23	0.009092400083318353	3.9899748106028396
P9_DataFit_2	21	59	65	0.0024473998928442597	3.715315359669951e-10
P10_Exponential_10	100	249	306	0.007447000010870397	-0.20557273309703977
P11_Exponential_100	9	37	30	0.006501000025309622	-0.20557280899073324
P12_Genhumps_5	1000	2315	3025	0.26438960002269596	0.2691040776662847
