P1_quad_10_10	26	53	80	0.027401699917390943	-24.708816068554963
P2_quad_10_1000	55	111	167	0.056168499984778464	-673.6285228799352
P3_quad_1000_10	31	63	95	6.320183699950576	-2014.9674990614524
P4_quad_1000_1000	366	733	1100	150.66938740003388	-71463.47878011492
P5_quartic_1	3	7	11	0.00024419999681413174	1.1206803822756814e-19
P6_quartic_2	28	193	86	0.0035247000632807612	0.001268160267795959
P7_rosenbrock_2	33	105	101	0.002492800005711615	1.8660377562064576e-13
P8_rosenbrock_100	7	33	23	0.011062200064770877	3.9899748106028396
P9_DataFit_2	14	45	44	0.001603799988515675	3.802134376077239e-12
P10_Exponential_10	20	61	63	0.001617699977941811	-0.2055728089444228
P11_Exponential_100	9	37	30	0.012902199989184737	-0.20557280899073502
P12_Genhumps_5	60	189	185	0.015738000045530498	9.031220796085508e-09
