P1_quad_10_10	105	211	107	0.024896582996007055	-24.708816068493316
P2_quad_10_1000	1000	2001	1002	0.2136002499901224	-667.1361997228879
P3_quad_1000_10	111	223	113	6.3552234589878935	-2014.967499062322
P4_quad_1000_1000	1000	2001	1002	56.85160837500007	-68655.27649333257
P5_quartic_1	2	5	4	4.1832972783595324e-05	1.600925598052903e-19
P6_quartic_2	5	78	7	0.0005412920145317912	0.0010306706149708427
P7_rosenbrock_2	1000	10834	1002	0.06056808400899172	0.000748424735481584
P8_rosenbrock_100	26	279	28	0.0021837499807588756	1.6182572816295605e-11
P9_DataFit_2	530	3438	532	0.029227416991489008	1.0069463050594947e-09
P10_Exponential_10	27	69	29	0.0005911249900236726	-0.2055728089930578
P11_Exponential_100	21	45	23	0.0004144999838899821	-0.2055728089957351
P12_Genhumps_5	148	374	150	0.01097608299460262	9.247197668719157e-08
